Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,856,3,T:System.Windows.Forms.Keys,,,,,"if (keyData == Keys.Delete)  			{  				if (!IsTextInputFocused() && btnDelete.Enabled)  				{  					btnDelete_Click(btnDelete, EventArgs.Empty);  					return true;  				}  			}  			else if (keyData == Keys.Escape)  			{  				this.Close();  				return true;  			}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,856,3,T:System.Windows.Forms.Keys,,,,,"if (keyData == Keys.Delete)  			{  				if (!IsTextInputFocused() && btnDelete.Enabled)  				{  					btnDelete_Click(btnDelete, EventArgs.Empty);  					return true;  				}  			}  			else if (keyData == Keys.Escape)  			{  				this.Close();  				return true;  			}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,856,3,F:System.Windows.Forms.Keys.Delete,,,,,"if (keyData == Keys.Delete)  			{  				if (!IsTextInputFocused() && btnDelete.Enabled)  				{  					btnDelete_Click(btnDelete, EventArgs.Empty);  					return true;  				}  			}  			else if (keyData == Keys.Escape)  			{  				this.Close();  				return true;  			}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,823,4,T:System.Windows.Forms.Label,,,,,"lblRateValue.Text = ""0 pings/sec"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,823,4,P:System.Windows.Forms.Label.Text,,,,,"lblRateValue.Text = ""0 pings/sec"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,821,4,T:System.Windows.Forms.Label,,,,,"lblRateValue.Text = (-val) + "" sec/ping"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,821,4,P:System.Windows.Forms.Label.Text,,,,,"lblRateValue.Text = (-val) + "" sec/ping"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,819,4,T:System.Windows.Forms.Label,,,,,"lblRateValue.Text = val + "" ping"" + (val == 1 ? """" : ""s"") + ""/sec"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,819,4,P:System.Windows.Forms.Label.Text,,,,,"lblRateValue.Text = val + "" ping"" + (val == 1 ? """" : ""s"") + ""/sec"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,817,3,T:System.Windows.Forms.TrackBar,,,,,int val = trackBarRate.Value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,817,3,P:System.Windows.Forms.TrackBar.Value,,,,,int val = trackBarRate.Value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,780,2,T:System.Windows.Forms.Form,,,,,public void PositionAdjacentTo(Form owner)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,800,3,P:System.Windows.Forms.Form.Location,,,,,"this.Location = this.NudgeOnscreen(x, y);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,799,3,T:System.Windows.Forms.FormStartPosition,,,,,this.StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,799,3,T:System.Windows.Forms.FormStartPosition,,,,,this.StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,799,3,F:System.Windows.Forms.FormStartPosition.Manual,,,,,this.StartPosition = FormStartPosition.Manual;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PingTest\PingTracer.csproj,File,PingTest\ConfigurationForm.cs,799,3,T:System.Windows.Forms.FormStartPosition,,,,,this.StartPosition = FormStartPosition.Manual;
